x2,thin,deg,dummy,thin,min_val,avg_val,max_val
8.915906788,8,18.02,,88,16.4333333,16.94333333,17.3966667
9.017223911,9,18.13333333,,89,15.3566667,15.844,16.3766667
9.118541033,9,18.19,,90,14.1666667,14.705,15.1866667
9.219858156,9,18.24666667,,91,13.0333333,13.55466666,14.0533333
9.321175279,9,18.36,,92,11.9566667,12.45407409,12.92
9.422492401,9,18.47333333,,93,10.7666667,11.27099999,11.8433333
9.523809524,9,18.53,,94,9.46333333,10.03566667,10.5966667
9.625126646,9,18.58666667,,95,8.16,8.760666667,9.35
9.726443769,9,18.64333333,,96,6.8,7.389333333,7.99
9.827760892,9,18.7,,97,5.44,6.035,6.68666667
9.929078014,9,18.75666667,,98,3.91,4.612666667,5.27
10.03039514,10,18.81333333,,99,0.28333333,2.594074073,3.79666667
10.13171226,10,18.92666667,,100,0,0,0
10.23302938,10,19.04,,,,,
10.3343465,10,19.15333333,,,,,
10.43566363,10,19.15333333,,,,,
10.53698075,10,19.21,,,,,
10.63829787,10,19.26666667,,,,,
10.73961499,10,19.38,,,,,
10.84093212,10,19.43666667,,,,,
10.94224924,10,19.49333333,,,,,
11.04356636,11,19.60666667,,,,,
11.14488349,11,19.66333333,,,,,
11.24620061,11,19.72,,,,,
11.34751773,11,19.77666667,,,,,
11.44883485,11,19.89,,,,,
11.55015198,11,19.94666667,,,,,
11.6514691,11,20.00333333,,,,,
11.75278622,11,20.11666667,,,,,
11.85410334,11,20.17333333,,,,,
11.95542047,11,20.23,,,,,
12.05673759,12,20.23,,,,,
12.15805471,12,20.34333333,,,,,
12.25937183,12,20.4,,,,,
12.36068896,12,20.45666667,,,,,
12.46200608,12,20.51333333,,,,,
12.5633232,12,20.68333333,,,,,
12.66464032,12,20.74,,,,,
12.76595745,12,20.74,,,,,
12.86727457,12,20.79666667,,,,,
12.96859169,12,20.91,,,,,
13.06990881,13,20.96666667,,,,,
13.17122594,13,21.02333333,,,,,
13.27254306,13,21.13666667,,,,,
13.37386018,13,21.19333333,,,,,
13.4751773,13,21.25,,,,,
13.57649443,13,21.30666667,,,,,
13.67781155,13,21.36333333,,,,,
13.77912867,13,21.42,,,,,
13.8804458,13,21.47666667,,,,,
13.98176292,13,21.53333333,,,,,
14.08308004,14,21.59,,,,,
14.18439716,14,21.64666667,,,,,
14.28571429,14,21.76,,,,,
14.38703141,14,21.81666667,,,,,
14.48834853,14,21.87333333,,,,,
14.58966565,14,21.98666667,,,,,
14.69098278,14,21.98666667,,,,,
14.7922999,14,22.04333333,,,,,
14.89361702,14,22.15666667,,,,,
14.99493414,14,22.21333333,,,,,
15.09625127,15,22.27,,,,,
15.19756839,15,22.32666667,,,,,
15.29888551,15,22.44,,,,,
15.40020263,15,22.49666667,,,,,
15.50151976,15,22.49666667,,,,,
15.60283688,15,22.61,,,,,
15.704154,15,22.66666667,,,,,
15.80547112,15,22.72333333,,,,,
15.90678825,15,22.78,,,,,
16.00810537,16,22.78,,,,,
16.10942249,16,22.89333333,,,,,
16.21073961,16,23.00666667,,,,,
16.31205674,16,23.00666667,,,,,
16.41337386,16,23.06333333,,,,,
16.51469098,16,23.17666667,,,,,
16.61600811,16,23.23333333,,,,,
16.71732523,16,23.29,,,,,
16.81864235,16,23.34666667,,,,,
16.91995947,16,23.46,,,,,
17.0212766,17,23.51666667,,,,,
17.12259372,17,23.51666667,,,,,
17.22391084,17,23.57333333,,,,,
17.32522796,17,23.68666667,,,,,
17.42654509,17,23.74333333,,,,,
17.52786221,17,23.8,,,,,
17.62917933,17,23.8,,,,,
17.73049645,17,23.85666667,,,,,
17.83181358,17,23.97,,,,,
17.9331307,17,24.02666667,,,,,
18.03444782,18,24.08333333,,,,,
18.13576494,18,24.14,,,,,
18.23708207,18,24.19666667,,,,,
18.33839919,18,24.25333333,,,,,
18.43971631,18,24.31,,,,,
18.54103343,18,24.36666667,,,,,
18.64235056,18,24.42333333,,,,,
18.74366768,18,24.48,,,,,
18.8449848,18,24.53666667,,,,,
18.94630193,18,24.59333333,,,,,
19.04761905,19,24.70666667,,,,,
19.14893617,19,24.76333333,,,,,
19.25025329,19,24.76333333,,,,,
19.35157042,19,24.82,,,,,
19.45288754,19,24.82,,,,,
19.55420466,19,24.93333333,,,,,
19.65552178,19,24.99,,,,,
19.75683891,19,25.04666667,,,,,
19.85815603,19,25.10333333,,,,,
19.95947315,19,25.16,,,,,
20.06079027,20,25.21666667,,,,,
20.1621074,20,25.27333333,,,,,
20.26342452,20,25.33,,,,,
20.36474164,20,25.38666667,,,,,
20.46605876,20,25.44333333,,,,,
20.56737589,20,25.5,,,,,
20.66869301,20,25.5,,,,,
20.77001013,20,25.55666667,,,,,
20.87132725,20,25.61333333,,,,,
20.97264438,20,25.67,,,,,
21.0739615,21,25.72666667,,,,,
21.17527862,21,25.78333333,,,,,
21.27659574,21,25.89666667,,,,,
21.37791287,21,25.95333333,,,,,
21.47922999,21,26.01,,,,,
21.58054711,21,26.06666667,,,,,
21.68186424,21,26.06666667,,,,,
21.78318136,21,26.18,,,,,
21.88449848,21,26.29333333,,,,,
21.9858156,21,26.35,,,,,
22.08713273,22,26.35,,,,,
22.18844985,22,26.35,,,,,
22.28976697,22,26.35,,,,,
22.39108409,22,26.35,,,,,
22.49240122,22,26.52,,,,,
22.59371834,22,26.52,,,,,
22.69503546,22,26.57666667,,,,,
22.79635258,22,26.63333333,,,,,
22.89766971,22,26.74666667,,,,,
22.99898683,22,26.80333333,,,,,
23.10030395,23,26.80333333,,,,,
23.20162107,23,26.86,,,,,
23.3029382,23,26.91666667,,,,,
23.40425532,23,26.97333333,,,,,
23.50557244,23,27.03,,,,,
23.60688956,23,27.08666667,,,,,
23.70820669,23,27.14333333,,,,,
23.80952381,23,27.14333333,,,,,
23.91084093,23,27.2,,,,,
24.01215805,24,27.31333333,,,,,
24.11347518,24,27.31333333,,,,,
24.2147923,24,27.37,,,,,
24.31610942,24,27.37,,,,,
24.41742655,24,27.42666667,,,,,
24.51874367,24,27.54,,,,,
24.62006079,24,27.54,,,,,
24.72137791,24,27.59666667,,,,,
24.82269504,24,27.59666667,,,,,
24.92401216,24,27.65333333,,,,,
25.02532928,25,27.71,,,,,
25.1266464,25,27.82333333,,,,,
25.22796353,25,27.82333333,,,,,
25.32928065,25,27.88,,,,,
25.43059777,25,27.88,,,,,
25.53191489,25,27.99333333,,,,,
25.63323202,25,28.05,,,,,
25.73454914,25,28.10666667,,,,,
25.83586626,25,28.10666667,,,,,
25.93718338,25,28.10666667,,,,,
26.03850051,26,28.16333333,,,,,
26.13981763,26,28.27666667,,,,,
26.24113475,26,28.33333333,,,,,
26.34245187,26,28.33333333,,,,,
26.443769,26,28.39,,,,,
26.54508612,26,28.39,,,,,
26.64640324,26,28.44666667,,,,,
26.74772036,26,28.56,,,,,
26.84903749,26,28.56,,,,,
26.95035461,26,28.61666667,,,,,
27.05167173,27,28.61666667,,,,,
27.15298886,27,28.67333333,,,,,
27.25430598,27,28.78666667,,,,,
27.3556231,27,28.84333333,,,,,
27.45694022,27,28.84333333,,,,,
27.55825735,27,28.84333333,,,,,
27.65957447,27,28.9,,,,,
27.76089159,27,28.95666667,,,,,
27.86220871,27,29.01333333,,,,,
27.96352584,27,29.07,,,,,
28.06484296,28,29.12666667,,,,,
28.16616008,28,29.12666667,,,,,
28.2674772,28,29.12666667,,,,,
28.36879433,28,29.18333333,,,,,
28.47011145,28,29.24,,,,,
28.57142857,28,29.29666667,,,,,
28.67274569,28,29.35333333,,,,,
28.77406282,28,29.35333333,,,,,
28.87537994,28,29.41,,,,,
28.97669706,28,29.41,,,,,
29.07801418,29,29.52333333,,,,,
29.17933131,29,29.58,,,,,
29.28064843,29,29.58,,,,,
29.38196555,29,29.63666667,,,,,
29.48328267,29,29.63666667,,,,,
29.5845998,29,29.69333333,,,,,
29.68591692,29,29.69333333,,,,,
29.78723404,29,29.80666667,,,,,
